NAME,CITY,STATE
DALLAS HIGH SCHOOL,DALLAS,OR
WESTSIDE ELEMENTARY SCHOOL,HOOD RIVER,OR
LINCOLN ELEMENTARY SCHOOL,CORVALLIS,OR
ROCK CREEK ELEMENTARY SCHOOL,PORTLAND,OR
WARM SPRINGS K-8 ACADEMY,WARM SPRINGS,OR
A C HOUGHTON ELEMENTARY SCHOOL,IRRIGON,OR
SEASIDE MIDDLE SCHOOL,SEASIDE,OR
LACOMB SCHOOL,LEBANON,OR
FIR GROVE ELEMENTARY SCHOOL,BEAVERTON,OR
MEADOWS ELEMENTARY,PORTLAND,OR
DR. MARTIN LUTHER KING JR. SCHOOL,PORTLAND,OR
FREE ORCHARDS ELEMENTARY SCHOOL,CORNELIUS,OR
ENTERPRISE HIGH SCHOOL,ENTERPRISE,OR
LINCOLN ELEMENTARY SCHOOL,GRANTS PASS,OR
PENDLETON HIGH SCHOOL,PENDLETON,OR
LOURDES SCHOOL,SCIO,OR
REYNOLDS LEARNING ACADEMY,FAIRVIEW,OR
TOM MCCALL ELEMENTARY SCHOOL,REDMOND,OR
MT VIEW ELEMENTARY SCHOOL,CORVALLIS,OR
JOSEPH LANE MIDDLE SCHOOL,ROSEBURG,OR
HIGH DESERT MIDDLE SCHOOL,BEND,OR
BROOKWOOD ELEMENTARY SCHOOL,HILLSBORO,OR
REYNOLDS HIGH SCHOOL,TROUTDALE,OR
LIBERTY ELEMENTARY SCHOOL,ALBANY,OR
SCOUTERS MOUNTAIN ELEMENTARY,HAPPY VALLEY,OR
MONROE HIGH SCHOOL,MONROE,OR
LAKE GROVE ELEMENTARY SCHOOL,LAKE OSWEGO,OR
SHERMAN COUNTY SCHOOL,MORO,OR
SILVER RAIL ELEMENTARY SCHOOL,BEND,OR
HOGAN CEDARS ELEMENTARY SCHOOL,GRESHAM,OR
JOHN WETTEN ELEMENTARY SCHOOL,GLADSTONE,OR
PLYMOUTH HIGH SCHOOL,ST HELENS,OR
MEMORIAL ELEMENTARY SCHOOL,MCMINNVILLE,OR
NEW BRIDGE HIGH SCHOOL,GRANTS PASS,OR
MCBRIDE ELEMENTARY SCHOOL,ST HELENS,OR
FAIRVIEW ELEMENTARY SCHOOL,FAIRVIEW,OR
SUMMIT COMMUNITY COLLEGE HIGH SCHOOL,ESTACADA,OR
KENNEDY ELEMENTARY SCHOOL,KEIZER,OR
FOUR CORNERS ELEMENTARY SCHOOL,SALEM,OR
THE IVY SCHOOL,PORTLAND,OR
SHADY COVE SCHOOL,SHADY COVE,OR
COLUMBUS ELEMENTARY SCHOOL,MCMINNVILLE,OR
VERNON ELEMENTARY SCHOOL,PORTLAND,OR
ENGLEWOOD ELEMENTARY SCHOOL,SALEM,OR
GILHAM ELEMENTARY SCHOOL,EUGENE,OR
BRIDLEMILE ELEMENTARY SCHOOL,PORTLAND,OR
LAPINE ELEMENTARY SCHOOL,LAPINE,OR
CHEMAWA INDIAN SCHOOL,SALEM,OR
STAFFORD PRIMARY SCHOOL,WEST LINN,OR
GRANT WATTS ELEMENTARY SCHOOL,SCAPPOOSE,OR
ELTON GREGORY MIDDLE SCHOOL,REDMOND,OR
MAZAMA HIGH SCHOOL,KLAMATH FALLS,OR
MONROE GRADE SCHOOL,MONROE,OR
CESAR E CHAVEZ ELEMENTARY,SALEM,OR
CHINESE LANGUAGE IMMERSION SCHOOL,EUGENE,OR
WEST SUTHERLIN INTERMEDIATE,SUTHERLIN,OR
MOUNTAIN VIEW ACADEMY,LOWELL,OR
HIGHLAND ELEMENTARY SCHOOL,GRESHAM,OR
HIGHLAND ELEMENTARY SCHOOL,SALEM,OR
TERRA LINDA ELEMENTARY SCHOOL,PORTLAND,OR
WOODLAND CHARTER SCHOOL,GRANTS PASS,OR
OREGON VIRTUAL ACADEMY,NORTH BEND,OR
HELIX SCHOOL,HELIX,OR
ASH CREEK ELEMENTARY SCHOOL,MONMOUTH,OR
GREEN ELEMENTARY SCHOOL,ROSEBURG,OR
LADD ACRES ELEMENTARY SCHOOL,HILLSBORO,OR
BURNS HIGH SCHOOL,BURNS,OR
SANDY HIGH SCHOOL,SANDY,OR
SANDY HIGH SCHOOL,SANDY,OR
ENSWORTH ELEMENTARY SCHOOL,BEND,OR
MOHAWK HIGH SCHOOL,MARCOLA,OR
CROW MIDDLE/HIGH SCHOOL,EUGENE,OR
ROSA PARKS ELEMENTARY SCHOOL,PORTLAND,OR
NORTH SALEM HIGH SCHOOL,SALEM,OR
RENAISSANCE PUBLIC ACADEMY,MOLALLA,OR
PHOENIX ELEMENTARY SCHOOL,PHOENIX,OR
LOWELL JUNIOR/SENIOR HIGH SCHOOL,LOWELL,OR
NORTH DOUGLAS ELEMENTARY SCHOOL,DRAIN,OR
KELLY ELEMENTARY SCHOOL,PORTLAND,OR
CESAR CHAVEZ K-8 SCHOOL,PORTLAND,OR
SUNSET PRIMARY SCHOOL,WEST LINN,OR
EAGLE CHARTER SCHOOL,SALEM,OR
MCKAY ELEMENTARY SCHOOL,BEAVERTON,OR
SIUSLAW HIGH SCHOOL,FLORENCE,OR
DESTINATIONS CAREER ACADEMY OF OREGON,PRINEVILLE,OR
KEIZER ELEMENTARY SCHOOL,KEIZER,OR
VIEW ACRES ELEMENTARY SCHOOL,MILWAUKIE,OR
VALLEY INQUIRY CHARTER SCHOOL,SALEM,OR
SCOTT ELEMENTARY SCHOOL,PORTLAND,OR
CRANE ELEMENTARY SCHOOL,CRANE,OR
BAKER WEB ACADEMY,BAKER CITY,OR
OTTO PETERSEN ELEMENTARY SCHOOL,SCAPPOOSE,OR
OCKLEY GREEN MIDDLE SCHOOL,PORTLAND,OR
NEIL ARMSTRONG MIDDLE SCHOOL,FOREST GROVE,OR
MYRTLE CREEK ELEMENTARY SCHOOL,MYRTLE CREEK,OR
SUTHERLIN HIGH SCHOOL,SUTHERLIN,OR
EASTSIDE SCHOOL,COOS BAY,OR
SWEET HOME HIGH SCHOOL,SWEET HOME,OR
RIVERSIDE HIGH SCHOOL,ALBANY,OR
KLAMATH LEARNING CENTER,KLAMATH FALLS,OR
WOODBURN ACADEMY OF ART SCIENCE AND TECHNOLOGY,WOODBURN,OR
SOUTH ALBANY HIGH SCHOOL,ALBANY,OR
MULTNOMAH LEARNING ACADEMY,FAIRVIEW,OR
POWELL BUTTE COMMUNITY CHARTER SCHOOL,POWELL BUTTE,OR
PARKDALE ELEMENTARY SCHOOL,PARKDALE,OR
LAVA RIDGE ELEMENTARY SCHOOL,BEND,OR
SIUSLAW ELEMENTARY SCHOOL,FLORENCE,OR
EMERSON SCHOOL,PORTLAND,OR
GUBSER ELEMENTARY SCHOOL,KEIZER,OR
FERNDALE ELEMENTARY SCHOOL,MILTON-FREEWATER,OR
NORTH MARION INTERMEDIATE SCHOOL,AURORA,OR
RUCH OUTDOOR COMMUNITY SCHOOL,JACKSONVILLE,OR
CEDAR MILL ELEMENTARY SCHOOL,PORTLAND,OR
