NAME,CITY,STATE
VALLEY MIDDLE,CARLSBAD,CA
RIM OF THE WORLD SENIOR HIGH,LAKE ARROWHEAD,CA
NUVIEW BRIDGE EARLY COLLEGE HIGH,NUEVO,CA
FOOTHILL HIGH,BAKERSFIELD,CA
ALVARADO ELEMENTARY,LONG BEACH,CA
WINNETKA AVENUE ELEMENTARY,CANOGA PARK,CA
CHICAGO PARK ELEMENTARY,GRASS VALLEY,CA
PIERPONT ELEMENTARY,VENTURA,CA
JOHN H. NUFFER ELEMENTARY,NORWALK,CA
WASHINGTON ELEMENTARY,EUREKA,CA
UNIVERSITY CITY HIGH,SAN DIEGO,CA
TRI-C COMMUNITY DAY,LOS ANGELES,CA
LOMA VISTA MIDDLE,RIVERSIDE,CA
SOUTHEAST MIDDLE,SOUTH GATE,CA
UNIVERSITY PREPARATORY,VICTORVILLE,CA
LEO G. PAULY ELEMENTARY,BAKERSFIELD,CA
SUN EMPIRE ELEMENTARY,KERMAN,CA
STOCKTON HIGH,STOCKTON,CA
TAMALPAIS HIGH,MILL VALLEY,CA
MARIPOSA ELEMENTARY,REDLANDS,CA
NORTH PARK ACADEMY OF THE ARTS,PICO RIVERA,CA
ROCK SPRINGS ELEMENTARY,ESCONDIDO,CA
EL TEJON ELEMENTARY,LEBEC,CA
KATHERINE L. ALBIANI MIDDLE,ELK GROVE,CA
WEBER INSTITUTE,STOCKTON,CA
SOUTH VALLEY MIDDLE,GILROY,CA
GREENDELL,PALO ALTO,CA
SUNSET,BAKERSFIELD,CA
ELLEN FLETCHER MIDDLE,PALO ALTO,CA
COLFAX HIGH,COLFAX,CA
WOODSON ELEMENTARY,CORNING,CA
RICHARD HENRY DANA ELEMENTARY,DANA POINT,CA
ROSEDALE MIDDLE,BAKERSFIELD,CA
SAN JOSE VALLEY CONTINUATION HIGH,WARNER SPRINGS,CA
FAIR AVENUE ELEMENTARY,NORTH HOLLYWOOD,CA
ELLA BARKLEY HIGH,HAMILTON CITY,CA
ROSE AVENUE ELEMENTARY,OXNARD,CA
MARY BUREN ELEMENTARY,GUADALUPE,CA
FOOTHILL TECHNOLOGY HIGH,VENTURA,CA
BRITTAN ELEMENTARY,SUTTER,CA
VALADEZ MIDDLE SCHOOL ACADEMY,PLACENTIA,CA
SAN JACINTO HIGH,SAN JACINTO,CA
CENTENNIAL HIGH,COMPTON,CA
SANTA YNEZ VALLEY UNION HIGH,SANTA YNEZ,CA
JACK NORTHROP ELEMENTARY,LANCASTER,CA
WESTLAKE HIGH,WESTLAKE VILLAGE,CA
KELLOGG (KARL H.) ELEMENTARY,CHULA VISTA,CA
LINDA VISTA ELEMENTARY,ORANGE,CA
WESTMINSTER HIGH,WESTMINSTER,CA
VANTAGE POINT CHARTER,PENN VALLEY,CA
PROSPECT HIGH,SARATOGA,CA
ROOSEVELT JUNIOR HIGH,MODESTO,CA
NEWBERRY SPRINGS ELEMENTARY,NEWBERRY SPRINGS,CA
FAY ELEMENTARY,SAN DIEGO,CA
PALM TREE ELEMENTARY,PALMDALE,CA
SAN DIEGO BUSINESS/LEADERSHIP,SAN DIEGO,CA
LATON HIGH,LATON,CA
SOLANA VISTA ELEMENTARY,SOLANA BEACH,CA
LOMA VISTA ELEMENTARY,VENTURA,CA
WEBSTER ELEMENTARY,LONG BEACH,CA
WHEATLAND UNION HIGH,WHEATLAND,CA
MAGNOLIA ELEMENTARY,CARLSBAD,CA
HILLVIEW HIGH (CONTINUATION),TUSTIN,CA
WHEATLAND COMMUNITY DAY HIGH,WHEATLAND,CA
MICHAEL J. CASTORI ELEMENTARY,SACRAMENTO,CA
GEHRINGER ELEMENTARY,OAKLEY,CA
BIG BEAR ELEMENTARY,BIG BEAR LAKE,CA
W. R. POWELL ELEMENTARY,AZUSA,CA
HERITAGE OAK ELEMENTARY,ROSEVILLE,CA
TIEFORT VIEW INTERMEDIATE,FORT IRWIN,CA
LADERA ELEMENTARY,TUSTIN,CA
WELDON ELEMENTARY,CLOVIS,CA
DOW'S PRAIRIE ELEMENTARY,MCKINLEYVILLE,CA
REPETTO ELEMENTARY,MONTEREY PARK,CA
MARK TWAIN ELEMENTARY,CORCORAN,CA
TAYLOR (EDWARD R.) ELEMENTARY,SAN FRANCISCO,CA
ELWOOD J. KEEMA HIGH,SACRAMENTO,CA
CENTRAL EAST HIGH,FRESNO,CA
CAPTAIN JOHN CONTINUATION HIGH,HOOPA,CA
MESQUITE ELEMENTARY,PALMDALE,CA
ROCKLIN ELEMENTARY,ROCKLIN,CA
BURBANK UNIFIED INDEPENDENT LEARNING ACADEMY (BUILA),BURBANK,CA
WILLOW ELEMENTARY,LAKEWOOD,CA
GEORGE WASHINGTON ELEMENTARY,MADERA,CA
SUCCESS ACADEMY,SACRAMENTO,CA
HARRISON ELEMENTARY,STOCKTON,CA
SUNNYSIDE ELEMENTARY,SAN FRANCISCO,CA
PATRIOT ELEMENTARY,BAKERSFIELD,CA
LAFAYETTE ELEMENTARY,EUREKA,CA
LIBERTY ELEMENTARY,KERMAN,CA
EVERGREEN ELEMENTARY,BAKERSFIELD,CA
SUNSET ELEMENTARY,COALINGA,CA
ELK GROVE HIGH,ELK GROVE,CA
CARPINTERIA SENIOR HIGH,CARPINTERIA,CA
SUTTERS MILL,PLACERVILLE,CA
LAKESIDE MIDDLE,NORWALK,CA
PITTSBURG SENIOR HIGH,PITTSBURG,CA
WEED ELEMENTARY,WEED,CA
ELIZABETH LEARNING CENTER,CUDAHY,CA
DANBURY SPECIAL EDUCATION,CLAREMONT,CA
EVERGREEN ELEMENTARY,DIAMOND BAR,CA
FRANK AUGUSTUS MILLER MIDDLE,RIVERSIDE,CA
CHALLENGER SCHOOL OF SPORTS AND FITNESS,VICTORVILLE,CA
ROWLAND ELEMENTARY,ROWLAND HEIGHTS,CA
POMO,CLEARLAKE,CA
HERITAGE ELEMENTARY,CHULA VISTA,CA
HARVEST PARK MIDDLE,PLEASANTON,CA
DEEP CREEK ACADEMY,FARMERSVILLE,CA
GREEN HILLS ELEMENTARY,MILLBRAE,CA
CHAVEZ (CESAR) ELEMENTARY,SAN FRANCISCO,CA
WESTSIDE HIGH,SOUTH DOS PALOS,CA
CAJON PARK ELEMENTARY,SANTEE,CA
BERKELEY HIGH,BERKELEY,CA
EDWIN MARKHAM MIDDLE,PLACERVILLE,CA
FORTY-NINTH STREET ELEMENTARY,LOS ANGELES,CA
FIGARDEN ELEMENTARY,FRESNO,CA
PLEASANT ELEMENTARY,TULARE,CA
MARTIN LUTHER KING JR. ELEMENTARY,EL CENTRO,CA
VICTORIA MAGATHAN ELEMENTARY,ADELANTO,CA
LA MIRADA ELEMENTARY,SAN YSIDRO,CA
ANIMO WATTS COLLEGE PREPARATORY ACADEMY,LOS ANGELES,CA
DESIGN TECH HIGH,REDWOOD CITY,CA
ELDER CREEK ELEMENTARY,SACRAMENTO,CA
OPEN CHARTER MAGNET,LOS ANGELES,CA
POMOLITA MIDDLE,UKIAH,CA
WEILL (RAPHAEL) CHILDREN CENTER,SAN FRANCISCO,CA
PRINCETON ELEMENTARY,PRINCETON,CA
HARRY DEWEY FUNDAMENTAL ELEMENTARY,FAIR OAKS,CA
KEARNY COLLEGE CONNECTIONS,SAN DIEGO,CA
TRACY ELEMENTARY,BALDWIN PARK,CA
GRANT UNION HIGH,SACRAMENTO,CA
HOPE ELEMENTARY,SANTA BARBARA,CA
EL CAMINO FUNDAMENTAL HIGH,SACRAMENTO,CA
JIM MAPLES ACADEMY,PORTERVILLE,CA
CARVER ELEMENTARY,LOS ANGELES,CA
HIGHLAND PARK CONTINUATION,LOS ANGELES,CA
WASHINGTON ELEMENTARY,REDONDO BEACH,CA
MARICOPA ELEMENTARY,MARICOPA,CA
LAKEPORT COMMUNITY DAY,LAKEPORT,CA
CITRUS ELEMENTARY,FONTANA,CA
AMBASSADOR-GLOBAL LEADERSHIP,LOS ANGELES,CA
NOVA EDUCATION CENTER,NOVATO,CA
PEGGY HELLER ELEMENTARY,ATWATER,CA
IONE JUNIOR HIGH,JACKSON,CA
FRANKLIN ELEMENTARY,SAN DIEGO,CA
IMPERIAL AVE. HOLBROOK HIGH,IMPERIAL,CA
ROSE FERRERO ELEMENTARY,SOLEDAD,CA
KATHERINE EDWARDS MIDDLE,WHITTIER,CA
DEAN L. SHIVELY,SOUTH EL MONTE,CA
KIRBY DOROTHY CAMP,CITY OF COMMERCE,CA
A. M. WINN WALDORF-INSPIRED,SACRAMENTO,CA
LOIS E. BORCHARDT ELEMENTARY,LODI,CA
SANTA BARBARA COUNTY SPECIAL EDUCATION,SANTA BARBARA,CA
E. G. GARRISON ELEMENTARY,OCEANSIDE,CA
BAYVIEW ELEMENTARY,SAN PABLO,CA
INDEPENDENCE HIGH,BAKERSFIELD,CA
JACKSON ELEMENTARY,ALTADENA,CA
RICHARD CRANE ELEMENTARY,ROHNERT PARK,CA
EMERY PARK ELEMENTARY,ALHAMBRA,CA
J. C. CRUMPTON ELEMENTARY,MARINA,CA
CLARK MIDDLE,SAN DIEGO,CA
BARTLETT MIDDLE,PORTERVILLE,CA
CHAPARRAL HIGH,EL CAJON,CA
HARBOR VIEW ELEMENTARY,CORONA DEL MAR,CA
COMPTCHE ELEMENTARY,COMPTCHE,CA
GRANITE HILLS HIGH,PORTERVILLE,CA
MERCED COUNTY ROP,MERCED,CA
BUCKEYE SCHOOL OF THE ARTS,REDDING,CA
ALMADEN ELEMENTARY,SAN JOSE,CA
VALENCIA HIGH,PLACENTIA,CA
GAREY HIGH,POMONA,CA
MANTECA COMMUNITY DAY (K-6),MANTECA,CA
DEER CANYON ELEMENTARY,SAN DIEGO,CA
CARLMONT HIGH,BELMONT,CA
BURBANK PRESCHOOL CENTER,OAKLAND,CA
SUNNYSLOPE ELEMENTARY,SAN DIEGO,CA
SOAR HIGH (STUDENTS ON ACADEMIC RISE),LANCASTER,CA
HAWAIIAN AVENUE ELEMENTARY,WILMINGTON,CA
PIONEER ELEMENTARY,BRENTWOOD,CA
JOHN ADAMS ELEMENTARY,CORONA,CA
ALPHA CHARTER,ELVERTA,CA
JULIET MORRIS ELEMENTARY,CYPRESS,CA
KINGSWOOD K-8,CITRUS HEIGHTS,CA
WOODS (HAROLD L.) ELEMENTARY,CLOVIS,CA
PALOS VERDES HIGH,PALOS VERDES ESTATES,CA
DEL REY ELEMENTARY,DEL REY,CA
MAPLE ELEMENTARY,HESPERIA,CA
PHOENIX ACADEMY COMMUNITY DAY,KING CITY,CA
BUTTE COUNTY ROP,CHICO,CA
GEORGE C. MARSHALL ELEMENTARY,SEASIDE,CA
QUARTZ HILL ELEMENTARY,QUARTZ HILL,CA
TRAVIS COMMUNITY DAY,FAIRFIELD,CA
GODFREY G. BERRY ELEMENTARY,SAN DIEGO,CA
DICKENS (BILLY JOE) HIGH (CONTINUATION),HUGHSON,CA
FARALLONE VIEW ELEMENTARY,MONTARA,CA
PROSPECT HIGH (CONTINUATION),PLEASANT HILL,CA
MARTIN LUTHER KING JR. MIDDLE,HAYWARD,CA
CHARTER COMMUNITY SCHOOL HOME STUDY ACADEMY,PLACERVILLE,CA
FREMONT ELEMENTARY,DELANO,CA
MCKINLEYVILLE MIDDLE,MCKINLEYVILLE,CA
CHARLES D. JONES JUNIOR HIGH,BALDWIN PARK,CA
TULARE WESTERN HIGH,TULARE,CA
IMPERIAL COUNTY JUVENILE HALL/COMMUNITY,EL CENTRO,CA
MISSION VIEJO HIGH,MISSION VIEJO,CA
WILLIAM LAND ELEMENTARY,SACRAMENTO,CA
ENTERPRISE HIGH,KERMAN,CA
